Time,Throughput,Avg Delay,PDR
1,0,0,0
2,28.726,0.048299,98.6842
3,23.2065,0.239979,99.7297
4,21.1979,0.400284,99.8347
5,19.4846,0.571056,99.896
6,19.4898,0.57093,99.9164
7,19.4932,0.570865,99.9301
8,19.4958,0.570835,99.9404
9,19.4976,0.570784,99.9477
10,19.499,0.57075,99.9534
11,19.5002,0.570732,99.9164
12,36.6476,0.530694,99.8494
13,25.8209,0.378778,97.1328
14,24.3847,0.397044,86.1679
15,17.164,0.265143,91.0576
16,14.4439,0.272552,92.0539
17,14.7835,0.333295,88.4314
18,12.7644,0.381648,86.3562
19,13.2578,0.368475,87.8309
20,14.9685,0.350201,87.9855
21,13.432,0.385821,87.8693
22,13.8547,0.373016,87.5771
23,10.8524,0.3722,88.3201
24,9.78853,0.372188,88.7742
25,11.6855,0.373719,88.1238
26,9.50567,0.359801,87.6179
27,8.3413,0.35814,87.7945
28,8.10349,0.404248,88.4552
29,7.73144,0.401184,87.3895
30,7.50957,0.399099,87.9504
31,7.17201,0.424329,88.1681
32,6.69465,0.447157,86.6874
33,6.54762,0.467931,87.2452
34,8.1696,0.460522,86.7435
35,7.63249,0.459228,86.9701
36,7.70524,0.454996,87.4953
37,7.32029,0.441568,87.5953
38,7.39463,0.440109,87.6684
39,7.46106,0.44356,87.5225
40,7.18383,0.423823,87.5004
41,7.34903,0.432933,87.5244
42,7.14367,0.43569,87.4601
43,7.03323,0.449898,87.5363
44,6.89896,0.435035,87.5046
45,6.91557,0.429017,87.2586
46,6.84125,0.423309,87.2293
47,6.80272,0.421595,87.2916
48,7.00511,0.425881,87.4862
49,7.03431,0.422424,87.4392
50,6.90836,0.421007,87.463
51,6.8862,0.415194,87.5672
52,7.09463,0.413474,87.6567
53,7.04185,0.411154,87.8787
54,6.98625,0.412885,87.9655
55,7.03158,0.40906,88.0199
56,7.04374,0.406503,88.1322
57,7.20793,0.40093,88.1067
58,7.18374,0.398204,88.1909
59,7.08578,0.400676,87.8854
60,7.07606,0.400355,88.0858
61,6.15028,0.400336,88.0701
62,6.15028,0.400336,88.0701
63,6.15029,0.400313,88.0718
64,6.15016,0.400236,88.0873
65,6.35292,0.37794,88.2369
66,6.26542,0.373509,88.4384
67,6.26542,0.373504,88.4384
68,6.26542,0.373504,88.4384
69,6.2654,0.373425,88.4422
70,6.2654,0.373425,88.4422
71,6.26524,0.373185,88.4507
72,6.26523,0.373047,88.4557
73,6.26517,0.373036,88.4624
74,6.2651,0.373018,88.4624
75,6.26508,0.373016,88.4624
76,6.26483,0.372748,88.4772
77,6.26479,0.372738,88.4772
78,6.26479,0.372738,88.4772
79,6.26475,0.37272,88.4772
80,6.25929,0.372426,88.4772
81,6.2593,0.372419,88.4772
82,6.25924,0.372093,88.487
83,6.25924,0.372093,88.487
84,6.25924,0.372093,88.487
85,6.25914,0.371931,88.4901
86,6.25914,0.371912,88.4901
87,6.25911,0.371784,88.4933
88,6.25912,0.371682,88.496
89,6.25914,0.371633,88.496
90,6.25914,0.371633,88.496
91,6.25887,0.371626,88.507
92,6.25887,0.371626,88.507
93,6.25887,0.371626,88.507
94,6.25887,0.371626,88.507
95,6.25887,0.371626,88.507
96,6.25886,0.371621,88.507
97,6.2588,0.371534,88.5098
98,6.2585,0.371458,88.5112
99,6.25848,0.371374,88.5134
