Time,Throughput,Avg Delay,PDR
1,0,0,0
2,0,0,0
3,260.579,0.0112357,98.6784
4,195.611,0.0895716,75.1041
5,183.52,0.144506,70.5518
6,143.496,0.371428,54.947
7,135.311,0.382002,51.1545
8,130.133,0.396801,49.4627
9,127.452,0.413156,48.4826
10,123.714,0.51737,46.6603
11,121.358,0.522184,44.6546
12,121.057,0.523347,42.2606
13,121.129,0.309607,40.8126
14,124.47,0.233316,41.0097
15,122.172,0.242265,42.6661
16,108.189,1.10297,37.4472
17,111.699,1.09479,38.2886
18,113.578,1.09146,38.4554
19,114.453,1.0905,38.1857
20,98.6026,1.01974,32.218
21,84.5747,0.932759,27.8251
22,86.3758,0.961991,28.3672
23,87.1587,0.964412,28.2456
24,89.2409,1.00153,28.8675
25,90.9372,1.00302,28.9276
26,92.9663,0.998398,29.1531
27,91.7114,0.994749,29.7475
28,93.108,0.994057,29.7565
29,91.6694,0.99276,29.6455
30,92.7459,0.985744,29.8915
31,88.9312,0.981351,29.825
32,89.1235,0.987023,29.8951
33,90.0006,0.988961,30.3901
34,82.6983,0.995259,28.0438
35,83.8656,0.93964,28.8325
36,85.9345,0.942621,29.5225
37,87.8346,0.944345,30.1563
38,89.7765,0.944779,30.8446
39,91.1399,0.946166,31.2989
40,93.3375,0.940314,32.0637
41,94.9356,0.934532,32.5521
42,96.276,0.930684,32.8306
43,93.1776,0.93045,33.142
44,94.3223,0.927653,33.6567
45,95.0086,0.926516,33.7407
46,95.3619,0.925362,33.9807
47,95.806,0.924682,34.1267
48,96.6726,0.923566,34.3122
49,97.3234,0.92178,34.4368
50,98.0933,0.91931,34.4818
51,97.8824,0.920508,34.4717
52,97.4803,0.927183,34.5967
53,97.1597,0.930804,34.6112
54,97.1597,0.930804,34.5953
55,97.1597,0.930804,34.5806
56,97.1597,0.930804,34.5661
57,97.307,0.919475,34.6807
58,97.7861,0.906226,34.8994
59,98.2632,0.897996,35.1163
60,98.7084,0.892684,35.3177
61,98.723,0.892537,35.3252
62,98.723,0.892537,35.3252
63,98.723,0.892537,35.3252
64,98.723,0.892537,35.3252
65,98.723,0.892537,35.3252
66,98.723,0.892537,35.3252
67,98.723,0.892537,35.3252
68,98.723,0.892537,35.3252
69,98.723,0.892537,35.3252
70,98.723,0.892537,35.3252
71,98.723,0.892537,35.3252
72,98.723,0.892537,35.3252
73,98.723,0.892537,35.3252
74,98.723,0.892537,35.3252
75,98.723,0.892537,35.3252
76,98.723,0.892537,35.3252
77,98.723,0.892537,35.3252
78,98.723,0.892537,35.3252
79,98.723,0.892537,35.3252
80,98.723,0.892537,35.3252
81,98.723,0.892537,35.3252
82,98.723,0.892537,35.3252
83,98.723,0.892537,35.3252
84,98.723,0.892537,35.3252
85,98.723,0.892537,35.3252
86,98.723,0.892537,35.3252
87,98.723,0.892537,35.3252
88,98.723,0.892537,35.3252
89,98.723,0.892537,35.3252
90,98.723,0.892537,35.3252
91,98.723,0.892537,35.3252
92,98.723,0.892537,35.3252
93,98.723,0.892537,35.3252
94,98.723,0.892537,35.3252
95,98.723,0.892537,35.3252
96,98.723,0.892537,35.3252
97,98.723,0.892537,35.3252
98,98.723,0.892537,35.3252
99,98.723,0.892537,35.3252
