Time,Throughput,Avg Delay,PDR
1,219.321,0.000751122,100
2,219.321,0.000751122,100
3,219.321,0.000751122,100
4,219.321,0.000751122,100
5,219.321,0.000751122,100
6,240.367,0.00116048,99.1935
7,254.022,0.00147989,99.7967
8,249.662,0.00137206,99.9321
9,248.988,0.00136059,100
10,254.087,0.00145326,100
11,252.355,0.00143455,99.9361
12,259.506,0.00152704,97.6643
13,250.416,0.0113628,92.9945
14,260.523,0.00312747,94.9409
15,252.27,0.002421,94.8966
16,248.551,0.00387098,93.2195
17,252.79,0.00258038,94.1499
18,244.363,0.0154263,91.3521
19,248.702,0.00368811,92.8591
20,250.347,0.00289922,93.3764
21,251.188,0.00265646,93.5322
22,251.127,0.00326296,93.3811
23,252.145,0.0046489,93.7201
24,253.216,0.00415102,94.098
25,253.188,0.00390937,94.3097
26,253.295,0.00372382,94.4224
27,253.425,0.00358042,94.4931
28,253.542,0.00345988,94.3657
29,253.619,0.00340922,93.9869
30,253.684,0.00337602,93.7235
31,253.738,0.00334724,93.7549
32,253.78,0.00332466,93.7728
33,253.81,0.00330521,93.7865
34,253.817,0.00330068,93.79
35,253.814,0.00330105,93.79
36,253.813,0.00330122,93.79
37,253.811,0.00330144,93.79
38,253.81,0.00330158,93.79
39,253.809,0.00330177,93.79
40,253.808,0.00330189,93.79
41,253.808,0.00330189,93.79
42,253.808,0.00330189,93.79
43,253.808,0.00330189,93.79
44,253.808,0.00330189,93.79
45,253.808,0.00330189,93.79
46,253.808,0.00330189,93.79
47,253.808,0.00330189,93.79
48,253.808,0.00330189,93.79
49,253.808,0.00330189,93.79
50,253.808,0.00330189,93.79
51,253.808,0.00330189,93.79
52,253.808,0.00330189,93.79
53,253.808,0.00330189,93.79
54,253.808,0.00330189,93.79
55,253.808,0.00330189,93.79
56,253.808,0.00330189,93.79
57,253.808,0.00330189,93.79
58,253.808,0.00330189,93.79
59,253.808,0.00330189,93.79
60,253.808,0.00330189,93.79
61,253.808,0.00330189,93.79
62,253.808,0.00330189,93.79
63,253.808,0.00330189,93.79
64,253.808,0.00330189,93.79
65,253.808,0.00330189,93.79
66,253.808,0.00330189,93.79
67,253.808,0.00330189,93.79
68,253.808,0.00330189,93.79
69,253.808,0.00330189,93.79
70,253.808,0.00330189,93.79
71,253.808,0.00330189,93.79
72,253.808,0.00330189,93.79
73,253.808,0.00330189,93.79
74,253.808,0.00330189,93.79
75,253.808,0.00330189,93.79
76,253.808,0.00330189,93.79
77,253.808,0.00330189,93.79
78,253.808,0.00330189,93.79
79,253.808,0.00330189,93.79
80,253.808,0.00330189,93.79
81,253.808,0.00330189,93.79
82,253.808,0.00330189,93.79
83,253.808,0.00330189,93.79
84,253.808,0.00330189,93.79
85,253.808,0.00330189,93.79
86,253.808,0.00330189,93.79
87,253.808,0.00330189,93.79
88,253.808,0.00330189,93.79
89,253.808,0.00330189,93.79
90,253.808,0.00330189,93.79
91,253.808,0.00330189,93.79
92,253.808,0.00330189,93.79
93,253.808,0.00330189,93.79
94,253.808,0.00330189,93.79
95,253.808,0.00330189,93.79
96,253.808,0.00330189,93.79
97,253.808,0.00330189,93.79
98,253.808,0.00330189,93.79
99,253.808,0.00330189,93.79
