Time,Throughput,Avg Delay,PDR
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,241.137,0.0591877,75.2778
7,179.072,0.0780725,61.5548
8,133.392,0.313493,42.5605
9,84.7329,0.563897,29.0989
10,81.9278,0.578871,27.5029
11,75.5149,0.589941,25.179
12,69.5039,0.594901,21.7798
13,67.68,0.601751,20.684
14,63.4873,0.602928,18.9021
15,61.0451,0.616732,18.4611
16,60.2281,0.620826,17.9395
17,59.5462,0.625395,17.8332
18,62.3408,0.636943,18.3338
19,62.5395,0.628207,19.0343
20,64.8479,0.621681,19.4352
21,65.2615,0.615934,20.0936
22,60.128,0.597167,18.8401
23,62.2332,0.601508,19.8257
24,65.0225,0.595399,20.8343
25,60.0211,0.594251,21.0244
26,60.2374,0.600319,20.973
27,60.3183,0.60456,21.2433
28,59.5919,0.613148,21.0716
29,59.2873,0.619294,20.7226
30,53.9037,0.887463,18.6688
31,53.3704,0.890854,18.3909
32,53.8937,0.891154,18.1679
33,51.4983,0.893807,17.8136
34,51.9439,0.895519,17.5216
35,51.1828,0.896715,17.077
36,51.2364,0.89847,16.9629
37,51.1615,0.899883,16.7672
38,51.1615,0.899883,16.4271
39,50.5914,0.900108,16.15
40,50.6137,0.901096,15.9144
41,50.6859,0.931682,16.0554
42,51.479,0.908041,16.5205
43,51.0162,0.905509,16.6336
44,51.381,0.905672,16.5846
45,51.5819,0.905636,16.5265
46,49.3978,0.907002,16.4336
47,49.7941,0.90549,16.3756
48,49.9135,0.905633,16.1522
49,49.9652,0.801484,16.1155
50,50.0769,0.80189,15.9097
51,50.1552,0.802152,15.6987
52,46.9981,0.803387,15.6085
53,46.9769,0.803596,15.3818
54,47.3303,0.803798,15.3544
55,47.462,0.800409,15.6425
56,44.2779,0.641839,15.0834
57,41.7163,0.596678,14.5719
58,42.6398,0.596669,15.0329
59,43.4404,0.598064,15.419
60,41.3194,0.581166,14.8296
61,41.6741,0.589998,15.1386
62,41.6896,0.607309,15.1528
63,41.6896,0.607309,15.1528
64,41.6896,0.607309,15.1528
65,41.6896,0.607309,15.1528
66,41.6896,0.607309,15.1528
67,41.6896,0.607309,15.1528
68,41.6896,0.607309,15.1528
69,41.6896,0.607309,15.1528
70,41.6896,0.607309,15.1528
71,41.6896,0.607309,15.1528
72,41.6896,0.607309,15.1528
73,41.6896,0.607309,15.1528
74,41.6896,0.607309,15.1528
75,41.6896,0.607309,15.1528
76,41.6896,0.607309,15.1528
77,41.6896,0.607309,15.1528
78,41.6896,0.607309,15.1528
79,41.6896,0.607309,15.1528
80,41.6896,0.607309,15.1528
81,41.6896,0.607309,15.1528
82,41.6896,0.607309,15.1528
83,41.6896,0.607309,15.1528
84,41.6896,0.607309,15.1528
85,41.6896,0.607309,15.1528
86,41.6896,0.607309,15.1528
87,41.6896,0.607309,15.1528
88,41.6896,0.607309,15.1528
89,41.6896,0.607309,15.1528
90,41.6896,0.607309,15.1528
91,41.6896,0.607309,15.1528
92,41.6896,0.607309,15.1528
93,41.6896,0.607309,15.1528
94,41.6896,0.607309,15.1528
95,41.6896,0.607309,15.1528
96,41.6896,0.607309,15.1528
97,41.6896,0.607309,15.1528
98,41.6896,0.607309,15.1528
99,41.6896,0.607309,15.1528
